bri,hue,sat,watt
1,1,1,1.0
1,2732,1,1.05
1,5463,1,1.04
1,8194,1,0.94
1,10925,1,0.99
1,13656,1,0.9
1,16387,1,0.94
1,19118,1,0.9
1,21849,1,0.94
1,24580,1,0.94
1,27311,1,0.94
1,30042,1,1.1
1,32773,1,1.05
1,35504,1,1.04
1,38235,1,0.98
1,40966,1,0.92
1,43697,1,0.91
1,46428,1,0.96
1,49159,1,0.96
1,51890,1,1.0
1,54621,1,0.9
1,57352,1,0.9
1,60083,1,0.95
1,62814,1,1.05
1,65535,1,0.95
1,1,33,1.04
1,2732,33,0.99
1,5463,33,1.08
1,8194,33,0.99
1,10925,33,1.04
1,13656,33,1.09
1,16387,33,0.94
1,19118,33,1.04
1,21849,33,1.04
1,24580,33,1.04
1,27311,33,1.09
1,30042,33,1.11
1,32773,33,1.2
1,35504,33,1.04
1,38235,33,1.14
1,40966,33,1.14
1,43697,33,1.09
1,46428,33,1.09
1,49159,33,1.14
1,51890,33,1.09
1,54621,33,1.09
1,57352,33,1.04
1,60083,33,1.09
1,62814,33,1.05
1,65535,33,1.05
1,1,65,1.05
1,2732,65,1.05
1,5463,65,1.1
1,8194,65,1.11
1,10925,65,1.12
1,13656,65,1.11
1,16387,65,1.1
1,19118,65,1.04
1,21849,65,1.04
1,24580,65,1.0
1,27311,65,0.96
1,30042,65,1.02
1,32773,65,1.06
1,35504,65,1.1
1,38235,65,1.11
1,40966,65,1.06
1,43697,65,0.96
1,46428,65,1.11
1,49159,65,1.04
1,51890,65,1.03
1,54621,65,0.98
1,57352,65,1.04
1,60083,65,0.93
1,62814,65,0.97
1,65535,65,0.91
1,1,97,1.02
1,2732,97,1.12
1,5463,97,1.08
1,8194,97,1.12
1,10925,97,1.08
1,13656,97,1.08
1,16387,97,1.08
1,19118,97,0.97
1,21849,97,1.07
1,24580,97,1.05
1,27311,97,1.02
1,30042,97,1.02
1,32773,97,1.06
1,35504,97,0.96
1,38235,97,0.9
1,40966,97,0.86
1,43697,97,0.91
1,46428,97,0.85
1,49159,97,0.95
1,51890,97,1.0
1,54621,97,0.95
1,57352,97,0.8
1,60083,97,0.91
1,62814,97,0.91
1,65535,97,0.81
1,1,129,0.91
1,2732,129,0.85
1,5463,129,0.86
1,8194,129,0.86
1,10925,129,0.85
1,13656,129,0.86
1,16387,129,0.9
1,19118,129,0.85
1,21849,129,0.9
1,24580,129,0.79
1,27311,129,0.85
1,30042,129,0.84
1,32773,129,0.89
1,35504,129,0.92
1,38235,129,0.83
1,40966,129,0.98
1,43697,129,0.97
1,46428,129,0.84
1,49159,129,0.9
1,51890,129,0.8
1,54621,129,0.91
1,57352,129,0.92
1,60083,129,0.87
1,62814,129,0.92
1,65535,129,0.88
1,1,161,0.82
1,2732,161,0.93
1,5463,161,0.83
1,8194,161,0.82
1,10925,161,0.91
