bri,hue,sat,watt
1,1,1,0.91
1,2732,1,0.96
1,5463,1,1.02
1,8194,1,0.96
1,10925,1,0.98
1,13656,1,1.02
1,16387,1,0.96
1,19118,1,0.95
1,21849,1,0.96
1,24580,1,0.97
1,27311,1,1.0
1,30042,1,1.0
1,32773,1,0.89
1,35504,1,1.04
1,38235,1,0.93
1,40966,1,1.0
1,43697,1,0.94
1,46428,1,0.96
1,49159,1,0.95
1,51890,1,0.99
1,54621,1,0.95
1,57352,1,0.94
1,60083,1,0.95
1,62814,1,1.02
1,65535,1,0.97
1,1,33,0.95
1,2732,33,0.92
1,5463,33,0.97
1,8194,33,0.91
1,10925,33,0.93
1,13656,33,0.97
1,16387,33,0.99
1,19118,33,0.98
1,21849,33,1.02
1,24580,33,1.02
1,27311,33,1.06
1,30042,33,0.97
1,32773,33,1.0
1,35504,33,1.04
1,38235,33,1.04
1,40966,33,0.95
1,43697,33,1.01
1,46428,33,0.94
1,49159,33,0.94
1,51890,33,0.92
1,54621,33,0.98
1,57352,33,0.96
1,60083,33,0.92
1,62814,33,0.89
1,65535,33,0.98
1,1,65,0.9
1,2732,65,0.91
1,5463,65,0.93
1,8194,65,0.96
1,10925,65,0.99
1,13656,65,1.06
1,16387,65,0.97
1,19118,65,1.02
1,21849,65,0.96
1,24580,65,1.08
1,27311,65,1.03
1,30042,65,1.04
1,32773,65,1.1
1,35504,65,1.09
1,38235,65,1.06
1,40966,65,1.01
1,43697,65,1.02
1,46428,65,1.05
1,49159,65,0.98
1,51890,65,0.94
1,54621,65,0.93
1,57352,65,0.94
1,60083,65,0.95
1,62814,65,0.94
1,65535,65,0.91
1,1,97,0.89
1,2732,97,0.88
1,5463,97,0.92
1,8194,97,0.94
1,10925,97,1.03
1,13656,97,1.04
1,16387,97,1.06
1,19118,97,1.06
1,21849,97,1.1
1,24580,97,1.1
1,27311,97,1.09
1,30042,97,1.14
1,32773,97,1.11
1,35504,97,1.2
1,38235,97,1.14
1,40966,97,1.1
1,43697,97,1.14
1,46428,97,1.04
1,49159,97,1.02
1,51890,97,0.99
1,54621,97,0.92
1,57352,97,0.96
1,60083,97,0.91
1,62814,97,0.9
1,65535,97,0.92
1,1,129,0.84
1,2732,129,0.89
1,5463,129,0.94
1,8194,129,0.88
1,10925,129,0.94
1,13656,129,0.99
1,16387,129,1.04
1,19118,129,1.05
1,21849,129,1.08
1,24580,129,1.19
1,27311,129,1.17
1,30042,129,1.16
1,32773,129,1.21
1,35504,129,1.21
1,38235,129,1.19
1,40966,129,1.19
1,43697,129,1.21
1,46428,129,1.15
1,49159,129,1.02
1,51890,129,0.97
1,54621,129,0.89
1,57352,129,0.91
1,60083,129,0.89
