bri,hue,sat,watt
1,1,1,1.05
1,2732,1,1.05
1,5463,1,1.03
1,8194,1,1.03
1,10925,1,1.06
1,13656,1,1.05
1,16387,1,1.04
1,19118,1,1.05
1,21849,1,1.05
1,24580,1,1.03
1,27311,1,1.04
1,30042,1,1.08
1,32773,1,1.06
1,35504,1,1.04
1,38235,1,1.04
1,40966,1,1.03
1,43697,1,1.05
1,46428,1,1.04
1,49159,1,1.05
1,51890,1,1.04
1,54621,1,1.03
1,57352,1,1.04
1,60083,1,1.06
1,62814,1,1.05
1,65535,1,1.03
1,1,33,1.04
1,2732,33,1.01
1,5463,33,1.05
1,8194,33,1.05
1,10925,33,1.04
1,13656,33,1.05
1,16387,33,1.04
1,19118,33,1.05
1,21849,33,1.05
1,24580,33,1.04
1,27311,33,1.03
1,30042,33,1.04
1,32773,33,1.04
1,35504,33,1.06
1,38235,33,1.04
1,40966,33,1.05
1,43697,33,1.05
1,46428,33,1.03
1,49159,33,1.03
1,51890,33,1.05
1,54621,33,1.03
1,57352,33,1.02
1,60083,33,1.04
1,62814,33,1.03
1,65535,33,1.04
1,1,65,1.08
1,2732,65,1.05
1,5463,65,1.03
1,8194,65,1.04
1,10925,65,1.05
1,13656,65,1.04
1,16387,65,1.04
1,19118,65,1.04
1,21849,65,1.03
1,24580,65,1.04
1,27311,65,1.05
1,30042,65,1.03
1,32773,65,1.02
1,35504,65,1.06
1,38235,65,1.04
1,40966,65,1.04
1,43697,65,1.02
1,46428,65,1.04
1,49159,65,1.05
1,51890,65,1.03
1,54621,65,1.05
1,57352,65,1.03
1,60083,65,1.03
1,62814,65,1.03
1,65535,65,1.05
1,1,97,1.01
1,2732,97,1.06
1,5463,97,1.03
1,8194,97,1.05
1,10925,97,1.05
1,13656,97,1.06
1,16387,97,1.03
1,19118,97,1.05
1,21849,97,1.05
1,24580,97,1.03
1,27311,97,1.03
1,30042,97,1.05
1,32773,97,1.07
1,35504,97,1.04
1,38235,97,1.05
1,40966,97,1.03
1,43697,97,1.04
1,46428,97,1.04
1,49159,97,1.05
1,51890,97,1.06
1,54621,97,1.05
1,57352,97,1.03
1,60083,97,1.08
1,62814,97,1.06
1,65535,97,1.04
1,1,129,1.05
1,2732,129,1.06
1,5463,129,1.05
1,8194,129,1.01
1,10925,129,1.03
1,13656,129,1.01
1,16387,129,1.03
1,19118,129,1.06
1,21849,129,1.03
1,24580,129,1.06
1,27311,129,1.03
1,30042,129,1.04
1,32773,129,1.05
1,35504,129,1.05
1,38235,129,1.06
1,40966,129,1.03
1,43697,129,1.04
1,46428,129,1.05
1,49159,129,1.05
1,51890,129,1.06
1,54621,129,1.06
1,57352,129,1.04
1,60083,129,1.05
1,62814,129,1.05
1,65535,129,1.04
1,1,161,1.05
1,2732,161,1.02
1,5463,161,1.04
1,8194,161,1.04
1,10925,161,1.03
1,13656,161,1.03
1,16387,161,1.04
1,19118,161,1.01
1,21849,161,1.06
1,24580,161,1.07
1,27311,161,1.05
1,30042,161,1.04
1,32773,161,1.02
1,35504,161,1.04
1,38235,161,1.01
1,40966,161,1.06
1,43697,161,1.06
1,46428,161,1.06
1,49159,161,1.05
1,51890,161,1.08
1,54621,161,1.04
1,57352,161,1.05
1,60083,161,1.02
1,62814,161,1.04
1,65535,161,1.04
1,1,193,1.05
1,2732,193,1.05
1,5463,193,1.06
1,8194,193,1.05
1,10925,193,1.04
1,13656,193,1.04
1,16387,193,1.02
1,19118,193,1.04
1,21849,193,1.04
1,24580,193,1.06
1,27311,193,1.03
1,30042,193,1.03
1,32773,193,1.06
1,35504,193,1.04
1,38235,193,1.04
1,40966,193,1.05
1,43697,193,1.05
1,46428,193,1.03
1,49159,193,1.05
1,51890,193,1.04
1,54621,193,1.05
1,57352,193,1.04
1,60083,193,1.02
1,62814,193,1.03
1,65535,193,1.04
1,1,225,1.04
1,2732,225,1.05
1,5463,225,1.06
1,8194,225,1.06
1,10925,225,1.05
1,13656,225,1.04
1,16387,225,1.05
1,19118,225,1.04
1,21849,225,1.02
1,24580,225,1.04
1,27311,225,1.04
1,30042,225,1.03
1,32773,225,1.04
1,35504,225,1.03
1,38235,225,1.02
1,40966,225,1.02
1,43697,225,1.08
1,46428,225,1.05
1,49159,225,1.04
1,51890,225,1.04
1,54621,225,1.03
1,57352,225,1.04
1,60083,225,1.05
1,62814,225,1.03
1,65535,225,1.02
1,1,255,1.03
1,2732,255,1.04
1,5463,255,1.04
1,8194,255,1.05
1,10925,255,1.04
1,13656,255,1.03
1,16387,255,1.04
1,19118,255,1.04
1,21849,255,1.03
1,24580,255,1.04
1,27311,255,1.03
1,30042,255,1.04
1,32773,255,1.05
1,35504,255,1.04
1,38235,255,1.04
1,40966,255,1.04
1,43697,255,1.07
1,46428,255,1.05
1,49159,255,1.04
1,51890,255,1.05
1,54621,255,1.05
1,57352,255,1.03
1,60083,255,1.03
1,62814,255,1.02
1,65535,255,1.05
33,1,1,1.18
33,2732,1,1.15
33,5463,1,1.15
33,8194,1,1.14
33,10925,1,1.13
33,13656,1,1.14
33,16387,1,1.16
33,19118,1,1.13
33,21849,1,1.14
33,24580,1,1.15
33,27311,1,1.12
33,30042,1,1.16
33,32773,1,1.13
33,35504,1,1.15
33,38235,1,1.14
33,40966,1,1.15
33,43697,1,1.14
33,46428,1,1.14
33,49159,1,1.16
33,51890,1,1.15
33,54621,1,1.14
33,57352,1,1.17
33,60083,1,1.15
33,62814,1,1.15
33,65535,1,1.15
33,1,33,1.13
33,2732,33,1.13
33,5463,33,1.17
33,8194,33,1.17
33,10925,33,1.14
33,13656,33,1.15
33,16387,33,1.14
33,19118,33,1.15
33,21849,33,1.12
33,24580,33,1.13
33,27311,33,1.17
33,30042,33,1.15
33,32773,33,1.12
33,35504,33,1.13
33,38235,33,1.13
33,40966,33,1.14
33,43697,33,1.12
33,46428,33,1.11
33,49159,33,1.12
33,51890,33,1.13
33,54621,33,1.13
33,57352,33,1.11
33,60083,33,1.13
33,62814,33,1.13
33,65535,33,1.12
33,1,65,1.13
33,2732,65,1.12
33,5463,65,1.13
33,8194,65,1.12
33,10925,65,1.13
33,13656,65,1.11
33,16387,65,1.14
33,19118,65,1.15
33,21849,65,1.13
33,24580,65,1.11
33,27311,65,1.11
33,30042,65,1.14
33,32773,65,1.15
33,35504,65,1.14
33,38235,65,1.15
33,40966,65,1.11
33,43697,65,1.11
33,46428,65,1.12
33,49159,65,1.09
33,51890,65,1.09
33,54621,65,1.09
33,57352,65,1.12
33,60083,65,1.1
33,62814,65,1.14
33,65535,65,1.13
33,1,97,1.14
33,2732,97,1.13
33,5463,97,1.13
33,8194,97,1.13
33,10925,97,1.11
33,13656,97,1.13
33,16387,97,1.13
33,19118,97,1.11
33,21849,97,1.13
33,24580,97,1.13
33,27311,97,1.11
33,30042,97,1.14
33,32773,97,1.13
33,35504,97,1.1
33,38235,97,1.11
33,40966,97,1.11
33,43697,97,1.13
33,46428,97,1.12
33,49159,97,1.09
33,51890,97,1.1
33,54621,97,1.12
33,57352,97,1.1
33,60083,97,1.11
33,62814,97,1.11
33,65535,97,1.11
33,1,129,1.1
33,2732,129,1.09
33,5463,129,1.11
33,8194,129,1.15
33,10925,129,1.13
33,13656,129,1.14
33,16387,129,1.12
33,19118,129,1.13
33,21849,129,1.1
33,24580,129,1.08
33,27311,129,1.1
33,30042,129,1.09
33,32773,129,1.1
33,35504,129,1.1
33,38235,129,1.1
33,40966,129,1.1
33,43697,129,1.12
33,46428,129,1.1
33,49159,129,1.11
33,51890,129,1.1
33,54621,129,1.1
33,57352,129,1.1
33,60083,129,1.09
33,62814,129,1.09
33,65535,129,1.09
33,1,161,1.09
33,2732,161,1.1
33,5463,161,1.1
33,8194,161,1.16
33,10925,161,1.12
33,13656,161,1.15
33,16387,161,1.13
33,19118,161,1.12
33,21849,161,1.09
33,24580,161,1.12
33,27311,161,1.08
33,30042,161,1.08
33,32773,161,1.07
33,35504,161,1.08
33,38235,161,1.12
33,40966,161,1.09
33,43697,161,1.11
33,46428,161,1.11
33,49159,161,1.09
33,51890,161,1.08
33,54621,161,1.1
33,57352,161,1.09
33,60083,161,1.09
33,62814,161,1.08
33,65535,161,1.07
33,1,193,1.06
33,2732,193,1.09
33,5463,193,1.1
33,8194,193,1.13
33,10925,193,1.09
33,13656,193,1.12
33,16387,193,1.11
33,19118,193,1.1
33,21849,193,1.11
33,24580,193,1.07
33,27311,193,1.11
33,30042,193,1.09
33,32773,193,1.06
33,35504,193,1.07
33,38235,193,1.06
33,40966,193,1.07
33,43697,193,1.1
33,46428,193,1.1
33,49159,193,1.06
33,51890,193,1.07
33,54621,193,1.07
33,57352,193,1.09
33,60083,193,1.12
33,62814,193,1.08
33,65535,193,1.06
33,1,225,1.06
33,2732,225,1.07
33,5463,225,1.07
33,8194,225,1.08
33,10925,225,1.07
33,13656,225,1.1
33,16387,225,1.09
33,19118,225,1.12
33,21849,225,1.1
33,24580,225,1.08
33,27311,225,1.04
33,30042,225,1.07
33,32773,225,1.05
33,35504,225,1.06
33,38235,225,1.04
33,40966,225,1.07
33,43697,225,1.07
33,46428,225,1.08
33,49159,225,1.08
33,51890,225,1.07
33,54621,225,1.06
33,57352,225,1.04
33,60083,225,1.07
33,62814,225,1.05
33,65535,225,1.05
33,1,255,1.04
33,2732,255,1.06
33,5463,255,1.07
33,8194,255,1.05
33,10925,255,1.07
33,13656,255,1.07
33,16387,255,1.06
33,19118,255,1.05
33,21849,255,1.07
33,24580,255,1.05
33,27311,255,1.08
33,30042,255,1.07
33,32773,255,1.06
33,35504,255,1.06
33,38235,255,1.07
33,40966,255,1.06
33,43697,255,1.06
33,46428,255,1.05
33,49159,255,1.08
33,51890,255,1.07
33,54621,255,1.03
33,57352,255,1.05
33,60083,255,1.04
33,62814,255,1.04
33,65535,255,1.05
65,1,1,1.47
65,2732,1,1.43
65,5463,1,1.46
65,8194,1,1.44
65,10925,1,1.46
65,13656,1,1.46
65,16387,1,1.48
65,19118,1,1.49
65,21849,1,1.46
65,24580,1,1.46
65,27311,1,1.48
65,30042,1,1.49
65,32773,1,1.5
65,35504,1,1.44
65,38235,1,1.47
65,40966,1,1.42
65,43697,1,1.49
65,46428,1,1.47
65,49159,1,1.46
65,51890,1,1.46
65,54621,1,1.48
65,57352,1,1.46
65,60083,1,1.48
65,62814,1,1.47
65,65535,1,1.48
65,1,33,1.47
65,2732,33,1.46
65,5463,33,1.46
65,8194,33,1.47
65,10925,33,1.48
65,13656,33,1.44
65,16387,33,1.44
65,19118,33,1.44
65,21849,33,1.43
65,24580,33,1.43
65,27311,33,1.42
65,30042,33,1.43
65,32773,33,1.45
65,35504,33,1.41
65,38235,33,1.43
65,40966,33,1.42
65,43697,33,1.43
65,46428,33,1.41
65,49159,33,1.37
65,51890,33,1.36
65,54621,33,1.4
65,57352,33,1.42
65,60083,33,1.4
65,62814,33,1.4
65,65535,33,1.42
65,1,65,1.4
65,2732,65,1.43
65,5463,65,1.44
65,8194,65,1.4
65,10925,65,1.46
65,13656,65,1.42
65,16387,65,1.41
65,19118,65,1.4
65,21849,65,1.42
65,24580,65,1.39
65,27311,65,1.4
65,30042,65,1.38
65,32773,65,1.39
65,35504,65,1.44
65,38235,65,1.4
65,40966,65,1.4
65,43697,65,1.37
65,46428,65,1.36
65,49159,65,1.31
65,51890,65,1.32
65,54621,65,1.3
65,57352,65,1.32
65,60083,65,1.34
65,62814,65,1.37
65,65535,65,1.38
65,1,97,1.36
65,2732,97,1.4
65,5463,97,1.42
65,8194,97,1.42
65,10925,97,1.44
65,13656,97,1.44
65,16387,97,1.4
65,19118,97,1.36
65,21849,97,1.36
65,24580,97,1.36
65,27311,97,1.35
65,30042,97,1.35
65,32773,97,1.36
65,35504,97,1.37
65,38235,97,1.32
65,40966,97,1.35
65,43697,97,1.38
65,46428,97,1.32
65,49159,97,1.3
65,51890,97,1.29
65,54621,97,1.29
65,57352,97,1.31
